"","elementId","lang","labelRole","labelString","href"
"82","tifrs-ar_YearToDateComprehensiveIncomeOfSubsidiariesWhoseFinancialStatementsWereUnauditedOrUnreviewed","en","http://www.xbrl.org/2003/role/terseLabel","RIA008","tifrs-ar-2014-03-31.xsd#tifrs-ar_YearToDateComprehensiveIncomeOfSubsidiariesWhoseFinancialStatementsWereUnauditedOrUnreviewed"
"83","tifrs-ar_ComprehensiveIncomeForTheQuarterOfSubsidiariesWhoseFinancialStatementsWereUnauditedOrUnreviewed","en","http://www.xbrl.org/2003/role/label","Comprehensive income for the quarter of subsidiaries whose financial statements were unaudited or unreviewed","tifrs-ar-2014-03-31.xsd#tifrs-ar_ComprehensiveIncomeForTheQuarterOfSubsidiariesWhoseFinancialStatementsWereUnauditedOrUnreviewed"
"84","tifrs-ar_ComprehensiveIncomeForTheQuarterOfSubsidiariesWhoseFinancialStatementsWereUnauditedOrUnreviewed","zh-tw","http://www.xbrl.org/2003/role/label","本季未經會計師查核(核閱)之子公司綜合損益金額","tifrs-ar-2014-03-31.xsd#tifrs-ar_ComprehensiveIncomeForTheQuarterOfSubsidiariesWhoseFinancialStatementsWereUnauditedOrUnreviewed"
"85","tifrs-ar_ComprehensiveIncomeForTheQuarterOfSubsidiariesWhoseFinancialStatementsWereUnauditedOrUnreviewed","en","http://www.xbrl.org/2003/role/terseLabel","RIA009","tifrs-ar-2014-03-31.xsd#tifrs-ar_ComprehensiveIncomeForTheQuarterOfSubsidiariesWhoseFinancialStatementsWereUnauditedOrUnreviewed"
"86","tifrs-ar_EndingBalanceOfInvestmentsAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed","en","http://www.xbrl.org/2003/role/label","Ending balance of investments accounted for using equity method whose financial statements were unaudited or unreviewed","tifrs-ar-2014-03-31.xsd#tifrs-ar_EndingBalanceOfInvestmentsAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed"
"87","tifrs-ar_EndingBalanceOfInvestmentsAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed","zh-tw","http://www.xbrl.org/2003/role/label","截至本季止未經會計師查核(核閱)之採用權益法之投資期末餘額","tifrs-ar-2014-03-31.xsd#tifrs-ar_EndingBalanceOfInvestmentsAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed"
"88","tifrs-ar_EndingBalanceOfInvestmentsAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed","en","http://www.xbrl.org/2003/role/terseLabel","RIA010","tifrs-ar-2014-03-31.xsd#tifrs-ar_EndingBalanceOfInvestmentsAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed"
"89","tifrs-ar_ShareOfYearToDateProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed","en","http://www.xbrl.org/2003/role/label","Share of year-to-date profit (loss) of associates and joint ventures accounted for using equity method whose financial statements were unaudited or unreviewed","tifrs-ar-2014-03-31.xsd#tifrs-ar_ShareOfYearToDateProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed"
"90","tifrs-ar_ShareOfYearToDateProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed","zh-tw","http://www.xbrl.org/2003/role/label","截至本季止未經會計師查核(核閱)之採用權益法之投資當期認列關聯企業及合資損益之份額","tifrs-ar-2014-03-31.xsd#tifrs-ar_ShareOfYearToDateProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed"
"91","tifrs-ar_ShareOfYearToDateProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed","en","http://www.xbrl.org/2003/role/terseLabel","RIA011","tifrs-ar-2014-03-31.xsd#tifrs-ar_ShareOfYearToDateProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed"
"92","tifrs-ar_ShareOfProfitLossForTheQuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed","en","http://www.xbrl.org/2003/role/label","Share of profit (loss) for the quarter of associates and joint ventures accounted for using equity method whose financial statements were unaudited or unreviewed","tifrs-ar-2014-03-31.xsd#tifrs-ar_ShareOfProfitLossForTheQuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed"
"93","tifrs-ar_ShareOfProfitLossForTheQuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed","zh-tw","http://www.xbrl.org/2003/role/label","本季未經會計師查核(核閱)之採用權益法之投資當期認列關聯企業及合資損益之份額","tifrs-ar-2014-03-31.xsd#tifrs-ar_ShareOfProfitLossForTheQuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed"
"94","tifrs-ar_ShareOfProfitLossForTheQuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed","en","http://www.xbrl.org/2003/role/terseLabel","RIA012","tifrs-ar-2014-03-31.xsd#tifrs-ar_ShareOfProfitLossForTheQuarterOfAssociatesAndJointVenturesAccountedForUsingEquityMethodWhoseFinancialStatementsWereUnauditedOrUnreviewed"
